Year,Storm ID,Storm Name,Catgeory ,State,Normalized_PL_2018_USD,Normalized_CL_2018_USD
1950,1950_Baker,Baker,1,"AL,FL",668652013,646922296
1950,1950_Easy,Easy,3,FL,2246898463,1867258674
1950,1950_King,King,4,FL,6756169482,5823791982
1952,1952_Able,Able,2,SC,202785723,297824240
1953,1953_Barbara,Barbara,1,NC,68430295,126738996
1953,1953_Florence,Florence,1,FL,19871992,26367437
1953,1953_Hazel,Hazel,1,FL,287312437,307539775
1954,1954_Carol,Carol,3,"NC,NY,CT,RI,MA",23540025329,22071729514
1954,1954_Edna,Edna,2,NC,3825511241,2525303298
1954,1954_Hazel,Hazel,4,"SC,NC",33245843348,48532437524
1955,1955_Connie,Connie,2,"NC,VA",3563304190,6332668337
1955,1955_Ione,Ione,2,NC,5578968250,10156912494
1956,1956_Flossy,Flossy,1,"LA,FL",598747783,765875806
1957,1957_Audrey,Audrey,3,"LA,TX",4547098823,4993973583
1958,1958_Helene,Helene,3,NC,1006378202,1241800946
1959,1959_Cindy,Cindy,1,SC,287312437,307539775
1959,1959_Debra,Debra,1,TX,564817239,515079474
1959,1959_Gracie,Gracie,4,SC,653340667,950573187
1960,1960_Donna,Donna,4,"FL,NC,VA,NY, CT, RI, MA",48392370612,54872508466
1960,1960_Ethel,Ethel,1,"LA,MS",39630416,48470703
1961,1961_Carla,Carla,4,TX,25095759124,23311087241
1963,1963_Cindy,Cindy,1,TX,383633932,373415026
1964,1964_Cleo,Cleo,2,FL,7893909242,7240663404
1964,1964_Dora,Dora,2,FL,12286599179,10941263622
1964,1964_Hilda,Hilda,3,LA,3308030460,3806632277
1964,1964_Isabel,Isabel,2,FL,1027526533,1033323823
1965,1965_Betsy,Betsy,3,"FL,LA",20513468517,27239464414
1966,1966_Alma,Alma,2,FL,417692725,417315373
1966,1966_Inez,Inez,1,FL,108995318,169288237
1967,1967_Beulah,Beulah,3,TX,6317866988,6117748968
1968,1968_Gladys,Gladys,2,FL ,1089756034,907501654
1969,1969_Camille,Camille,5,"LA, MS",26414019804,31551720879
1969,1969_Gerda,Gerda,1,ME,287312437,307539775
1970,1970_Celia,Celia,3,TX,8252290737,8910156004
1971,1971_Edith,Edith,2,LA,352244329.4,385489810.3
1971,1971_Fern,Fern,1,TX,489889575.3,534042202.7
1971,1971_Ginger,Ginger,1,NC,247183165.5,342843867
1972,1972_Agnes,Agnes,1,"FL,MD,NY,PA,VA",26019943464,26905147913
1974,1974_Carmen,Carmen,3,LA,1410764694,1594228142
1975,1975_Eloise,Eloise,3,"FL, AL",7747515932,10587199586
1976,1976_Belle,Belle,1,NY,668652012.5,646922296
1977,1977_Babe,Babe,1,LA,81444417.31,89438167.58
1979,1979_Bob,Bob,1,LA,84079745.87,97575080.46
1979,1979_David,David,2,"FL,GA,SC",3866235032,3852716070
1979,1979_Frederic,Frederic,3,"AL,MS",15827205699,18636661732
1980,1980_Allen,Allen,3,TX,2766227873,2703189630
1983,1983_Alicia,Alicia,3,TX,13640282313,12762592265
1984,1984_Diana,Diana,2,NC,557692363.1,591830552.9
1985,1985_Bob,Bob,1,SC,215941565.5,250519964.4
1985,1985_Danny,Danny,1,LA,188255729.8,191582494.8
1985,1985_Elena,Elena,3,"AL,MS,FL",4990180575,5459644788
1985,1985_Gloria,Gloria,3,"NC,NY,CT,NH,ME",3374797468,3416409046
1985,1985_Juan,Juan,1,LA,5697252216,6172268756
1985,1985_Kate,Kate,2,"FL,GA",1644846703,1942010077
1986,1986_Bonnie,Bonnie,1,TX,135795518.8,133529486.6
1986,1986_Charley,Charley,1,NC,68180149.66,77700933.9
1987,1987_Floyd,Floyd,1,FL,2785747.86,3436517.22
1988,1988_Florence,Florence,1,LA,19271040.53,27866179.92
1989,1989_Chantal,Chantal,1,TX,355110778.2,335562246.7
1989,1989_Hugo,Hugo,4,"SC,NC",25125082707,29182401805
1989,1989_Jerry,Jerry,1,TX,287754381.8,273009653.7
1991,1991_Bob,Bob,2,"RI,MA,NY,CT",4346089591,4388208120
1992,1992_Andrew,Andrew,5,"FL,LA",1.0604E+11,1.0389E+11
1993,1993_Emily,Emily,3,NC,126650339.1,135187858.8
1995,1995_Erin,Erin,1,FL,2242896364,2396025119
1995,1995_Opal,Opal,3,"FL,AL",10048811036,11192070812
1996,1996_Bertha,Bertha,2,NC,939131822.7,964662204.1
1996,1996_Fran,Fran,3,NC,11130451232,11433033530
1997,1997_Danny,Danny,1,"LA, AL",252123244.1,269572654.4
1998,1998_Bonnie,Bonnie,2,NC,2232127187,2259000933
1998,1998_Earl,Earl,1,FL,203898110,227043185.2
1998,1998_Georges,Georges,2,"FL,MS",4546500713,4963461818
1999,1999_Bret,Bret,3,TX,114507945,76830977.35
1999,1999_Floyd,Floyd,2,NC,13941314363,13677533294
1999,1999_Irene,Irene,2,"FL,NC",1863482414,1840733998
2002,2002_Lili,Lili,1,LA,1657826975,1670566645
2003,2003_Claudette,Claudette,1,TX,287312437.3,307539775.3
2003,2003_Isabel,Isabel,2,NC,6127338333,6306382609
2004,2004_Alex,Alex,1,NC,6797795.01,7088809.4
2004,2004_Charley,Charley,4,"FL,SC",26932343549,27460765919
2004,2004_Frances,Frances,2,FL,16482385793,16476581358
